Transaction Date,Post Date,Description,Category,Type,Amount
10/10/2025,10/10/2025,Subway,Restaurants,debit,-65.54
10/10/2025,10/10/2025,Gas Company,Utilities,debit,-171.41
10/11/2025,10/11/2025,Gas Company,Utilities,debit,-195.66
10/12/2025,10/12/2025,Investment Dividend,Income,credit,4757.28
10/12/2025,10/12/2025,Internet Provider,Utilities,debit,-117.23
10/13/2025,10/13/2025,Investment Dividend,Income,credit,3039.76
10/13/2025,10/13/2025,Best Buy,Shopping,debit,-139.21
10/14/2025,10/14/2025,Chevron,Gas & Fuel,debit,-54.77
10/15/2025,10/15/2025,Safeway,Groceries,debit,-67.4
10/15/2025,10/15/2025,Geico,Insurance,debit,-381.83
10/15/2025,10/15/2025,Exxon,Gas & Fuel,debit,-60.19
10/16/2025,10/16/2025,Best Buy,Shopping,debit,-273.02
10/16/2025,10/16/2025,Kroger,Groceries,debit,-31.82
10/17/2025,10/17/2025,Mobil,Gas & Fuel,debit,-53.3
10/17/2025,10/17/2025,CVS Pharmacy,Healthcare,debit,-192.03
10/18/2025,10/18/2025,Water Utility,Utilities,debit,-104.63
10/18/2025,10/18/2025,Amazon,Shopping,debit,-85.65
10/18/2025,10/18/2025,Subway,Restaurants,debit,-12.99
10/18/2025,10/18/2025,Costco,Groceries,debit,-74.88
10/19/2025,10/19/2025,AMC Theaters,Entertainment,debit,-43.07
10/19/2025,10/19/2025,Chipotle,Restaurants,debit,-70.03
10/20/2025,10/20/2025,Lyft,Transportation,debit,-16.91
10/20/2025,10/20/2025,Walmart,Groceries,debit,-143.1
10/23/2025,10/23/2025,Lyft,Transportation,debit,-48.41
10/23/2025,10/23/2025,Spotify,Entertainment,debit,-20.58
10/23/2025,10/23/2025,Netflix,Entertainment,debit,-45.71
10/24/2025,10/24/2025,Trader Joe's,Groceries,debit,-81.56
10/24/2025,10/24/2025,Dental Clinic,Healthcare,debit,-149.01
10/25/2025,10/25/2025,Olive Garden,Restaurants,debit,-18.48
10/26/2025,10/26/2025,Walgreens,Healthcare,debit,-81.42
10/26/2025,10/26/2025,Olive Garden,Restaurants,debit,-25.7
10/26/2025,10/26/2025,Lyft,Transportation,debit,-42.82
10/26/2025,10/26/2025,Starbucks,Restaurants,debit,-28.35
10/29/2025,10/29/2025,Trader Joe's,Groceries,debit,-69.79
10/29/2025,10/29/2025,Home Depot,Shopping,debit,-188.56
10/30/2025,10/30/2025,Exxon,Gas & Fuel,debit,-63.51
10/30/2025,10/30/2025,Employer Payroll,Income,credit,2162.87
10/31/2025,10/31/2025,Subway,Restaurants,debit,-68.17
10/31/2025,10/31/2025,Water Utility,Utilities,debit,-126.68
11/01/2025,11/01/2025,Gas Company,Utilities,debit,-195.78
