Date,Amount,Description,Balance
10/10/2025,-65.54,Subway,934.46
10/10/2025,-171.41,Gas Company,763.05
10/11/2025,-195.66,Gas Company,567.39
10/12/2025,4757.28,Investment Dividend,5324.67
10/12/2025,-117.23,Internet Provider,5207.44
10/13/2025,3039.76,Investment Dividend,8247.2
10/13/2025,-139.21,Best Buy,8107.99
10/14/2025,-54.77,Chevron,8053.22
10/15/2025,-67.4,Safeway,7985.82
10/15/2025,-381.83,Geico,7603.99
10/15/2025,-60.19,Exxon,7543.8
10/16/2025,-273.02,Best Buy,7270.78
10/16/2025,-31.82,Kroger,7238.96
10/17/2025,-53.3,Mobil,7185.66
10/17/2025,-192.03,CVS Pharmacy,6993.63
10/18/2025,-104.63,Water Utility,6889.0
10/18/2025,-85.65,Amazon,6803.35
10/18/2025,-12.99,Subway,6790.36
10/18/2025,-74.88,Costco,6715.48
10/19/2025,-43.07,AMC Theaters,6672.41
10/19/2025,-70.03,Chipotle,6602.38
10/20/2025,-16.91,Lyft,6585.47
10/20/2025,-143.1,Walmart,6442.37
10/23/2025,-48.41,Lyft,6393.96
10/23/2025,-20.58,Spotify,6373.38
10/23/2025,-45.71,Netflix,6327.67
10/24/2025,-81.56,Trader Joe's,6246.11
10/24/2025,-149.01,Dental Clinic,6097.1
10/25/2025,-18.48,Olive Garden,6078.62
10/26/2025,-81.42,Walgreens,5997.2
10/26/2025,-25.7,Olive Garden,5971.5
10/26/2025,-42.82,Lyft,5928.68
10/26/2025,-28.35,Starbucks,5900.33
10/29/2025,-69.79,Trader Joe's,5830.54
10/29/2025,-188.56,Home Depot,5641.98
10/30/2025,-63.51,Exxon,5578.47
10/30/2025,2162.87,Employer Payroll,7741.34
10/31/2025,-68.17,Subway,7673.17
10/31/2025,-126.68,Water Utility,7546.49
11/01/2025,-195.78,Gas Company,7350.71
11/03/2025,-49.12,Metro Transit,7301.59
11/03/2025,606.49,Employer Payroll,7908.08
11/03/2025,-280.86,Macy's,7627.22
11/04/2025,-128.05,Macy's,7499.17
11/04/2025,-46.29,Olive Garden,7452.88
11/05/2025,-55.23,McDonald's,7397.65
11/06/2025,-135.59,Home Depot,7262.06
11/06/2025,-43.64,Safeway,7218.42
11/09/2025,-291.16,Amazon,6927.26
